id,stratum,products,verdict,tier,scope,target_level,target_is_leaf,flagged_ancestor_level,ours,theirs,reason
174,random,65,correct,exact-raw,vertical,3,True,False,Perbaikan Rumah > MATERIAL PERBAIKAN RUMAH > CAT,Perkakas > Bahan Bangunan Habis Pakai > Bahan Pengecatan Habis Pakai > Cat,CAT -> Bahan Pengecatan Habis Pakai > Cat
205,random,39,wrong,fuzzy-raw,global,2,True,True,"Hobi, Ibadah, dan Olahraga > Perawatan & Suku Cadang Mobil > PERAWATAN MOBIL",Layanan > Layanan Otomotif > Perbaikan & Perawatan Mobil,"PERAWATAN MOBIL (car-care PRODUCTS: compounds, polishes, coolant) -> 'Layanan > Layanan Otomotif > Perbaikan & Perawatan Mobil' = a SERVICE node. Wrong across the goods/services boundary"
721,random,31,correct,exact-raw,vertical,4,True,False,Makanan dan Minuman > FRESH > SAYURAN SEGAR > JAMUR,"Makanan, Minuman & Tembakau > Item Makanan > Buah & Sayur > Sayur Segar & Beku > Jamur",JAMUR -> Buah & Sayur > Sayur Segar & Beku > Jamur
552,random,27,correct,exact-raw,vertical,4,True,False,Makanan dan Minuman > MAKANAN KECIL  > PERMEN MARSHMALLOW DAN LAIN LAIN > PERMEN KARET,"Makanan, Minuman & Tembakau > Item Makanan > Permen & Cokelat > Permen > Permen Karet",PERMEN KARET -> Permen > Permen Karet
574,random,25,correct,exact-raw,vertical,4,True,False,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > GULA & PEMANIS > GULA PASIR,"Makanan, Minuman & Tembakau > Item Makanan > Bahan Memasak & Baking > Gula & Pemanis > Gula Pasir",GULA PASIR -> Gula & Pemanis > Gula Pasir
658,random,17,correct,exact-raw,vertical,3,True,False,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > TEPUNG > TEPUNG ROTI,"Makanan, Minuman & Tembakau > Item Makanan > Bahan Memasak & Baking > Tepung Roti",TEPUNG ROTI -> Bahan Memasak & Baking > Tepung Roti
630,random,15,correct,exact-raw,vertical,4,True,False,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MINYAK > MINYAK WIJEN,"Makanan, Minuman & Tembakau > Item Makanan > Bahan Memasak & Baking > Minyak Goreng > Minyak Wijen",MINYAK WIJEN -> Minyak Goreng > Minyak Wijen
97,random,11,wrong,exact-raw,global,4,True,False,Makanan dan Minuman > MAKANAN & BAHAN MAKANAN > MAKANAN BEKU,Hewan & Perlengkapan Hewan Piaraan > Perlengkapan Hewan Piaraan > Perlengkapan Ikan & Akuatik > Makanan Ikan > Makanan Beku,MAKANAN BEKU (frozen food) -> 'Perlengkapan Ikan & Akuatik > Makanan Ikan > Makanan Beku' = frozen FISH FOOD
1284,random,8,correct,exact-stripped,vertical,2,False,True,Fashion > TAS & KOPER > TAS WANITA > TAS TANGAN WANITA,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan","TAS TANGAN WANITA -> Tas Tangan, Dompet & Kotak > Tas Tangan"
683,random,6,correct,exact-raw,vertical,4,True,False,Makanan dan Minuman > FRESH > BUAH > PISANG,"Makanan, Minuman & Tembakau > Item Makanan > Buah & Sayur > Buah Segar & Beku > Pisang",PISANG -> Buah & Sayur > Buah Segar & Beku > Pisang
138,random,2,correct,fuzzy-raw,vertical,2,False,True,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN MULUT & GIGI,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Mulut,PERAWATAN MULUT & GIGI -> Perawatan Tubuh > Perawatan Mulut
1162,top20,1467,wrong,fuzzy-raw,vertical,3,True,False,Fashion > FASHION PRIA > ATASAN PRIA > KAUS PRIA,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Kaus Dalam Pria,KAUS PRIA (men's T-shirts) -> 'Pakaian Dalam Pria > Kaus Dalam Pria' = men's UNDERSHIRTS; the right node is 'Atasan Pakaian > Kaus Oblong'
1224,top20,1427,correct,exact-raw,vertical,3,False,True,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > CELANA DALAM WANITA,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita,CELANA DALAM WANITA -> Lingeri > Celana Dalam Wanita
955,top20,1143,ancestor,exact-raw,vertical,1,False,True,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA,Rumah & Taman > Peralatan Rumah Tangga,"PERALATAN RUMAH TANGGA (depth-4) -> 'Rumah & Taman > Peralatan Rumah Tangga', a level-1 vertical child"
440,top20,1086,correct,exact-stripped,vertical,2,True,True,Fashion > SEPATU WANITA > SANDAL WANITA,Busana dan Aksesori > Sepatu > Sandal,SANDAL WANITA -> Sepatu > Sandal; gender recoverable on the target
1223,top20,1022,correct,exact-stripped,vertical,3,True,False,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > BRA WANITA,Busana dan Aksesori > Pakaian > Lingeri > Bra,BRA WANITA -> Lingeri > Bra
432,top20,782,correct,exact-stripped,vertical,2,True,True,Fashion > SEPATU PRIA > SANDAL PRIA,Busana dan Aksesori > Sepatu > Sandal,SANDAL PRIA -> Sepatu > Sandal
1271,top20,661,wrong,fuzzy-stripped,vertical,3,True,False,Fashion > TAS & KOPER > TAS PRIA > TAS RANSEL PRIA,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan",TAS RANSEL PRIA (men's backpack) -> 'Tas Tangan > Tas Ransel Tangan' = a HANDBAG-style backpack; the right branch is 'Bagasi & Tas > Ransel'
53,top20,642,correct,exact-raw,global,3,True,False,Fashion > KACAMATA,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Penglihatan > Kacamata,KACAMATA -> Perawatan Penglihatan > Kacamata
1180,top20,589,correct,exact-stripped,vertical,4,True,False,Fashion > FASHION PRIA > PAKAIAN DALAM PRIA > CELANA DALAM PRIA,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Pakaian Dalam Pria > Celana Dalam,CELANA DALAM PRIA -> Pakaian Dalam Pria > Celana Dalam
1144,top20,569,correct,exact-stripped,vertical,2,True,True,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > SET PAKAIAN ANAK LAKI-LAKI,Busana dan Aksesori > Pakaian > Set Pakaian,SET PAKAIAN ANAK LAKI-LAKI -> Pakaian > Set Pakaian; age recoverable
58,top20,558,ancestor,exact-stripped,vertical,1,False,True,Fashion > SEPATU PRIA,Busana dan Aksesori > Sepatu,"SEPATU PRIA -> 'Busana dan Aksesori > Sepatu', the whole footwear branch (level 1, non-leaf)"
67,top20,518,correct,exact-raw,vertical,3,True,False,Mainan dan Alat Lainnya > BONEKA ,"Mainan & Permainan > Mainan > Boneka, Set Mainan & Figur Mainan > Boneka","BONEKA -> Mainan > Boneka, Set Mainan & Figur Mainan > Boneka"
1282,top20,513,correct,fuzzy-stripped,vertical,3,True,False,Fashion > TAS & KOPER > TAS WANITA > TAS RANSEL WANITA,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan",TAS RANSEL WANITA -> Tas Tangan > Tas Ransel Tangan; for a women's handbag-backpack this is the right node
1151,top20,485,correct,exact-stripped,vertical,2,True,True,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK PEREMPUAN > SET PAKAIAN ANAK PEREMPUAN,Busana dan Aksesori > Pakaian > Set Pakaian,SET PAKAIAN ANAK PEREMPUAN -> Pakaian > Set Pakaian
59,top20,481,ancestor,exact-stripped,vertical,1,False,True,Fashion > SEPATU WANITA,Busana dan Aksesori > Sepatu,"SEPATU WANITA -> 'Busana dan Aksesori > Sepatu' (level 1, non-leaf)"
57,top20,379,correct,exact-raw,vertical,2,False,True,Fashion > SEPATU ANAK & BAYI,Busana dan Aksesori > Sepatu > Sepatu Bayi & Anak,SEPATU ANAK & BAYI -> Sepatu > Sepatu Bayi & Anak
